UiMin_0,UiMin_1,UiMax_0,UiMax_1,Region_0,Region_1,Region_2,Region_3,Region_4,Region_5,ID,UiMapID,OrderIndex,MapID,AreaID,WMODoodadPlacementID,WMOGroupID
0,0,1,1,-1223.4720458984,-8564.4287109375,-1000000,10619.23046875,9198.58203125,1000000,39885,113,0,571,0,0,0
0,0,1,1,1054.1700439453,2806.25,-1000000,4897.919921875,8570.830078125,1000000,39886,114,0,571,3537,0,0
0,0,1,1,1835.4200439453,-1981.25,-1000000,5575,3627.080078125,1000000,39887,115,0,571,65,0,0
0,0,1,1,2016.6700439453,-6360.419921875,-1000000,5516.669921875,-1110.4200439453,1000000,39888,116,0,571,394,0,0
0,0,1,1,-914.5830078125,-7443.75,-1000000,3116.669921875,-1397.9200439453,1000000,39889,117,0,571,495,0,0
0,0,1,1,5245.830078125,-827.0830078125,-1000000,9427.080078125,5443.75,1000000,39890,118,0,571,210,0,0
0,0,1,1,4383.330078125,2572.919921875,-1000000,7287.5,6929.169921875,1000000,39891,119,0,571,3711,0,0
0,0,1,1,5456.25,-5270.830078125,-1000000,10197.900390625,1841.6700439453,1000000,39892,120,0,571,67,0,0
0,0,1,1,4339.580078125,-5593.75,-1000000,7668.75,-600,1000000,39893,121,0,571,66,0,0
0,0,1,1,3733.330078125,1354.1700439453,-1000000,5716.669921875,4329.169921875,1000000,39895,123,0,571,4197,0,0
0,0,1,1,979.16662597656,-7210.4165039062,-1000000,3087.5,-4047.9165039062,1000000,39896,124,0,609,4298,0,0
0,0,1,1,5513.330078125,222.49499511719,0,6066.669921875,1052.5100097656,1000000,39897,125,0,571,0,0,23935
0,0,1,1,5513.330078125,222.49499511719,0,6066.669921875,1052.5100097656,1000000,39898,125,1,571,0,0,23936
0,0,1,1,5513.330078125,222.49499511719,0,6066.669921875,1052.5100097656,1000000,39899,125,2,571,0,0,23940
0,0,1,1,5513.330078125,222.49499511719,0,6066.669921875,1052.5100097656,1000000,39900,125,3,571,0,0,23941
0,0,1,1,5513.330078125,222.49499511719,0,6066.669921875,1052.5100097656,1000000,39901,125,4,571,0,0,23942
0,0,1,1,5513.330078125,222.49499511719,0,6066.669921875,1052.5100097656,1000000,39902,125,5,571,0,0,23974
0,0,1,1,5513.330078125,222.49499511719,0,6066.669921875,1052.5100097656,1000000,39903,125,6,571,0,0,24042
0,0,1,1,5513.330078125,222.49499511719,0,6066.669921875,1052.5100097656,1000000,39904,125,7,571,0,0,24064
0,0,1,1,5513.330078125,222.49499511719,0,6066.669921875,1052.5100097656,1000000,39905,125,8,571,0,0,24069
0,0,1,1,5513.330078125,222.49499511719,0,6066.669921875,1052.5100097656,1000000,39906,125,9,571,0,0,24527
0,0,1,1,5513.330078125,222.49499511719,0,6066.669921875,1052.5100097656,1000000,39907,125,10,571,0,0,24529
0,0,1,1,5513.330078125,222.49499511719,0,6066.669921875,1052.5100097656,1000000,39908,125,11,571,0,0,24530
0,0,1,1,5513.330078125,222.49499511719,0,6066.669921875,1052.5100097656,1000000,39909,125,12,571,0,0,24536
0,0,1,1,5513.330078125,222.49499511719,0,6066.669921875,1052.5100097656,1000000,39910,125,13,571,0,0,24537
0,0,1,1,5513.330078125,222.49499511719,0,6066.669921875,1052.5100097656,1000000,39911,125,14,571,0,0,24552
0,0,1,1,5513.330078125,222.49499511719,0,6066.669921875,1052.5100097656,1000000,39912,125,15,571,0,0,24553
0,0,1,1,5513.330078125,222.49499511719,0,6066.669921875,1052.5100097656,1000000,39913,125,16,571,0,0,24554
0,0,1,1,5513.330078125,222.49499511719,0,6066.669921875,1052.5100097656,1000000,39914,125,17,571,0,0,24555
0,0,1,1,5513.330078125,222.49499511719,0,6066.669921875,1052.5100097656,1000000,39915,125,18,571,0,0,24556
0,0,1,1,5513.330078125,222.49499511719,0,6066.669921875,1052.5100097656,1000000,39916,125,19,571,0,0,24558
0,0,1,1,5513.330078125,222.49499511719,0,6066.669921875,1052.5100097656,1000000,39917,125,20,571,0,0,24573
