"{""";Durotar;""", ";1;,;14;,;4;},
"{""";Mulgore;""", ";1;,;215;,;9;},
"{""";Barrens;""", ";1;,;17;,;11;},
"{""";Kalimdor;""", ";1;,;0;,;13;},
"{""";Azeroth;""", ";0;,;0;,;14;},
"{""";Alterac;""", ";0;,;36;,;15;},
"{""";Arathi;""", ";0;,;45;,;16;},
"{""";Badlands;""", ";0;,;3;,;17;},
"{""";BlastedLands;""", ";0;,;4;,;19;},
"{""";Tirisfal;""", ";0;,;85;,;20;},
"{""";Silverpine;""", ";0;,;130;,;21;},
"{""";WesternPlaguelands;""", ";0;,;28;,;22;},
"{""";EasternPlaguelands;""", ";0;,;139;,;23;},
"{""";Hilsbrad;""", ";0;,;267;,;24;},
"{""";Hinterlands;""", ";0;,;47;,;26;},
"{""";DunMorogh;""", ";0;,;1;,;27;},
"{""";SearingGorge;""", ";0;,;51;,;28;},
"{""";BurningSteppes;""", ";0;,;46;,;29;},
"{""";Elwynn;""", ";0;,;12;,;30;},
"{""";DeadwindPass;""", ";0;,;41;,;32;},
"{""";Duskwood;""", ";0;,;10;,;34;},
"{""";LochModan;""", ";0;,;38;,;35;},
"{""";Redridge;""", ";0;,;44;,;36;},
"{""";Stranglethorn;""", ";0;,;33;,;37;},
"{""";SwampOfSorrows;""", ";0;,;8;,;38;},
"{""";Westfall;""", ";0;,;40;,;39;},
"{""";Wetlands;""", ";0;,;11;,;40;},
"{""";Teldrassil;""", ";1;,;141;,;41;},
"{""";Darkshore;""", ";1;,;148;,;42;},
"{""";Ashenvale;""", ";1;,;331;,;43;},
"{""";ThousandNeedles;""", ";1;,;400;,;61;},
"{""";StonetalonMountains;""", ";1;,;406;,;81;},
"{""";Desolace;""", ";1;,;405;,;101;},
"{""";Feralas;""", ";1;,;357;,;121;},
"{""";Dustwallow;""", ";1;,;15;,;141;},
"{""";Tanaris;""", ";1;,;440;,;161;},
"{""";Aszhara;""", ";1;,;16;,;181;},
"{""";Felwood;""", ";1;,;361;,;182;},
"{""";UngoroCrater;""", ";1;,;490;,;201;},
"{""";Moonglade;""", ";1;,;493;,;241;},
"{""";Silithus;""", ";1;,;1377;,;261;},
"{""";Winterspring;""", ";1;,;618;,;281;},
"{""";Stormwind;""", ";0;,;1519;,;301;},
"{""";Ogrimmar;""", ";1;,;1637;,;321;},
"{""";Ironforge;""", ";0;,;1537;,;341;},
"{""";ThunderBluff;""", ";1;,;1638;,;362;},
"{""";Darnassis;""", ";1;,;1657;,;381;},
"{""";Undercity;""", ";0;,;1497;,;382;},
"{""";AlteracValley;""", ";30;,;2597;,;401;},
"{""";WarsongGulch;""", ";489;,;3277;,;443;},
"{""";ArathiBasin;""", ";529;,;3358;,;461;},
