id,name,map_id,x,y
119,"Abercrombie's Crate",0,-11091,-68.9618
105169,"Agamand Weapon Rack",0,3058.62,653.585
105170,"Agamand Weapon Rack",0,3063.67,697.922
105171,"Agamand Weapon Rack",0,3019.9,688.797
105172,"Agamand Weapon Rack",0,3023.03,653.814
1166,"Alexston's Chest",0,-10672.2,1748.32
175565,"Alien Egg",1,-5587.25,-2736.15
175565,"Alien Egg",1,-5444.84,-2912.98
2714,"Alterac Granite",0,-302.113,-310.967
2714,"Alterac Granite",0,-270.227,-336.386
2714,"Alterac Granite",0,-243.975,-326.684
2714,"Alterac Granite",0,-203.451,-378.424
2714,"Alterac Granite",0,-196.545,-313.81
2714,"Alterac Granite",0,-137.529,-379.939
2912,Ambercorn,1,-2775.89,-866.91
2912,Ambercorn,1,-2719.34,53.177
2912,Ambercorn,1,-2708.53,-578.228
2912,Ambercorn,1,-2694.1,-1241.25
2912,Ambercorn,1,-2684.85,269.418
2912,Ambercorn,1,-2677.69,-256.283
2912,Ambercorn,1,-2676.96,-147.737
2912,Ambercorn,1,-2670.2,-888.89
2912,Ambercorn,1,-2614.48,127.444
2912,Ambercorn,1,-2608.77,-405.329
2912,Ambercorn,1,-2571.01,-1023.5
2912,Ambercorn,1,-2550.61,-539.232
2912,Ambercorn,1,-2547.34,-520.279
2912,Ambercorn,1,-2535.25,291.585
2912,Ambercorn,1,-2492.93,-917.357
2912,Ambercorn,1,-2480.31,-454.933
2912,Ambercorn,1,-2466.15,-69.4343
2912,Ambercorn,1,-2456.77,52.2542
2912,Ambercorn,1,-2404.69,-829.573
2912,Ambercorn,1,-2364.92,-622.662
2912,Ambercorn,1,-2321.21,-258.898
2912,Ambercorn,1,-2319.13,53.2301
2912,Ambercorn,1,-2272.77,-936.765
2912,Ambercorn,1,-2259.57,-701.602
2912,Ambercorn,1,-2249.68,-1255.8
2912,Ambercorn,1,-2247.64,228.756
2912,Ambercorn,1,-2203.76,-116.386
2912,Ambercorn,1,-2197.47,-484.446
2912,Ambercorn,1,-2194.82,-1152.57
